chapter,chapter_url,pdf_name,pdf_url,local_path
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 01 Div 01, General Provisions",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art01Division01.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art01Division01.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 01 Div 02, Construction, Interpretation and Definitions",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art01Division02.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art01Division02.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 01 Div 03, Notice",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art01Division03.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art01Division03.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 01 Div 04, General Offenses",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art01Division04.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art01Division04.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 02 Div 01, Enforcement Authority and Powers",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art02Division01.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art02Division01.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 02 Div 02, Judicial Remedies",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art02Division02.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art02Division02.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 02 Div 03, Administrative Remedies",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art02Division03.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art02Division03.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 02 Div 04, Administrative Enforcement Hearing Procedures",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art02Division04.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art02Division04.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 02 Div 05, Administrative Enforcement Appeals",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art02Division05.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art02Division05.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 02 Div 06, Administrative Abatement",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art02Division06.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art02Division06.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 02 Div 07, Summary Abatement",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art02Division07.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art02Division07.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 02 Div 08, Administrative Civil Penalties",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art02Division08.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art02Division08.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 02 Div 09, Administrative Citations",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art02Division09.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art02Division09.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 02 Div 10, Recordation of Notices of Violation",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art02Division10.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art02Division10.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 02 Div 11, Mediation",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art02Division11.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art02Division11.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 03 Div 01, Reinspection Fees",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art03Division01.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art03Division01.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 03 Div 02, Code Enforcement Liens",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art03Division02.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art03Division02.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 03 Div 03, Recovery of Abatement Costs",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art03Division03.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art03Division03.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,"Chap 01 Art 03 Div 04, Recovery of Civil Penalties",http://docs.sandiego.gov/municode/MuniCodeChapter01/Ch01Art03Division04.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\Ch01Art03Division04.pdf
"Chapter 01, General Provisions",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-1,City Clerk Administrative Guidelines,https://www.sandiego.gov/sites/default/files/city_clerk_administrative_guidelines.pdf,municipal_code_pdfs\Chapter_01_General_Provisions\city_clerk_administrative_guidelines.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 01 Div 01, No Division Title, Article Title - General Provisions",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art01Division01.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art01Division01.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 01, The Council",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division01.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division01.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 02, The City Manager",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division02.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division02.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 03, City Attorney",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division03.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division03.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 04, Civil Service Commission - Personnel Director",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division04.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division04.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 05, Purchasing Agent",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division05.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division05.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 06, Police Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division06.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division06.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 07, Chief Financial Officer and Finance Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division07.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division07.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 08, Debarment",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division08.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division08.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 09, Contracts - Leases - Sales",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division09.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division09.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 10, Personnel",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division10.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division10.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 11, Compensation",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division11.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division11.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 12, Bonds",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division12.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division12.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 13, Police and Fire Relief Pension",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division13.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division13.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 14, Public Utilities Department, Engineering and Capital Projects Department, Transportation Department, Environmental Services Department and Stormwater Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division14.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division14.pdf
"Chapter 02, Government",https://www.sandiego.gov/city-clerk/officialdocs/municipal-code/chapter-2,"Chap 02 Art 02 Div 15, Park and Recreation Department",http://docs.sandiego.gov/municode/MuniCodeChapter02/Ch02Art02Division15.pdf,municipal_code_pdfs\Chapter_02_Government\Ch02Art02Division15.pdf
